"id","cidade","regiao","pais","latitude","longitude","timezone","datahora_local","ultima_atualizacao","temperatura_c","temperatura_f","condicao_texto","condicao_icone","condicao_codigo","vento_mph","vento_kph","vento_graus","vento_direcao","pressao_mb","pressao_in","precipitacao_mm","precipitacao_in","umidade","nuvens","sensacao_c","sensacao_f","resfriamento_c","resfriamento_f","indice_calor_c","indice_calor_f","ponto_orvalho_c","ponto_orvalho_f","visibilidade_km","visibilidade_milhas","uv","rajada_mph","rajada_kph","data_registro","created_at","updated_at"
1,Jaragua Do Sul,Santa Catarina,Brazil,-26.48300,-49.06700,America/Sao_Paulo,2025-02-07 10:54:00.000,2025-02-07 10:45:00.000,27.30,81.10,Encoberto,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,4.30,6.80,75,ENE,1015.00,29.97,0.53,0.02,84,100,29.80,85.70,27.90,82.10,30.80,87.40,22.10,71.90,10.00,6.00,7.1,5.00,8.10,2025-02-07 11:00:44.000,2025-02-07 11:00:44.000,2025-02-07 11:01:10.000
2,Jaragua Do Sul,Santa Catarina,Brazil,-26.48300,-49.06700,America/Sao_Paulo,2025-02-07 11:27:00.000,2025-02-07 11:15:00.000,28.10,82.60,Encoberto,//cdn.weatherapi.com/weather/64x64/day/122.png,1009,4.50,7.20,80,E,1015.00,29.97,0.74,0.03,79,100,32.90,91.10,26.90,80.30,30.20,86.40,23.50,74.30,10.00,6.00,9.4,5.90,9.50,2025-02-07 11:15:03.000,2025-02-07 11:15:03.000,2025-02-07 11:30:03.000
118,Jaragua Do Sul,Santa Catarina,Brazil,-26.48300,-49.06700,America/Sao_Paulo,2025-02-08 16:40:00.000,2025-02-08 16:30:00.000,26.30,79.30,Parcialmente nublado,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,4.90,7.90,70,ENE,1017.00,30.03,0.00,0.00,84,75,27.80,82.00,26.00,78.70,27.40,81.30,18.60,65.50,10.00,6.00,3.0,6.60,10.70,2025-02-08 16:30:02.000,2025-02-08 16:30:02.000,2025-02-08 16:40:02.000
209,Jaragua Do Sul,Santa Catarina,Brazil,-26.48300,-49.06700,America/Sao_Paulo,2025-02-09 15:20:00.000,2025-02-09 15:15:00.000,31.30,88.30,Parcialmente nublado,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,5.10,8.30,90,E,1014.00,29.94,0.00,0.00,63,50,30.60,87.10,32.80,91.10,32.60,90.70,13.90,56.90,10.00,6.00,7.4,6.20,10.00,2025-02-09 15:20:02.000,2025-02-09 15:20:02.000,2025-02-09 15:20:02.000
210,Jaragua Do Sul,Santa Catarina,Brazil,-26.48300,-49.06700,America/Sao_Paulo,2025-02-09 15:37:00.000,2025-02-09 15:30:00.000,31.30,88.30,Parcialmente nublado,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,5.10,8.30,90,E,1014.00,29.94,0.00,0.00,63,50,30.60,87.10,32.80,91.10,32.60,90.70,13.90,56.90,10.00,6.00,7.4,6.20,10.00,2025-02-09 15:25:03.000,2025-02-09 15:25:03.000,2025-02-09 15:45:02.000
316,Jaragua Do Sul,Santa Catarina,Brazil,-26.48300,-49.06700,America/Sao_Paulo,2025-02-10 18:06:00.000,2025-02-10 18:00:00.000,31.30,88.30,Parcialmente nublado,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,3.40,5.40,81,E,1011.00,29.85,0.00,0.00,63,25,43.20,109.80,23.90,75.10,26.10,78.90,21.50,70.70,10.00,6.00,0.3,6.20,10.00,2025-02-10 18:05:02.000,2025-02-10 18:05:02.000,2025-02-10 18:15:02.000
317,Jaragua Do Sul,Santa Catarina,Brazil,-26.48300,-49.06700,America/Sao_Paulo,2025-02-10 18:27:00.000,2025-02-10 18:15:00.000,29.20,84.60,Parcialmente nublado,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,3.40,5.40,81,E,1011.00,29.85,0.00,0.00,70,50,36.60,97.80,23.90,75.10,26.10,78.90,21.50,70.70,10.00,6.00,0.3,6.20,10.00,2025-02-10 18:20:02.000,2025-02-10 18:20:02.000,2025-02-10 18:30:02.000
318,Jaragua Do Sul,Santa Catarina,Brazil,-26.48300,-49.06700,America/Sao_Paulo,2025-02-10 18:36:00.000,2025-02-10 18:30:00.000,29.20,84.60,Parcialmente nublado,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,3.40,5.40,81,E,1011.00,29.85,0.00,0.00,70,50,36.60,97.80,23.90,75.10,26.10,78.90,21.50,70.70,10.00,6.00,0.3,6.20,10.00,2025-02-10 18:35:03.000,2025-02-10 18:35:03.000,2025-02-10 18:45:02.000
406,Jaragua Do Sul,Santa Catarina,Brazil,-26.48300,-49.06700,America/Sao_Paulo,2025-02-11 16:59:00.000,2025-02-11 16:45:00.000,32.30,90.10,Parcialmente nublado,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,5.60,9.00,79,E,1008.00,29.77,0.00,0.00,67,25,36.40,97.50,32.00,89.50,35.70,96.20,21.50,70.60,10.00,6.00,3.7,7.00,11.30,2025-02-11 16:50:03.000,2025-02-11 16:50:03.000,2025-02-11 17:00:03.000
407,Jaragua Do Sul,Santa Catarina,Brazil,-26.48300,-49.06700,America/Sao_Paulo,2025-02-11 17:14:00.000,2025-02-11 17:00:00.000,32.00,89.60,Parcialmente nublado,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,3.80,6.10,73,ENE,1008.00,29.77,0.09,0.00,67,25,39.30,102.70,29.30,84.70,33.00,91.30,22.60,72.70,10.00,6.00,1.4,5.90,9.40,2025-02-11 17:05:02.000,2025-02-11 17:05:02.000,2025-02-11 17:15:03.000
467,Jaragua Do Sul,Santa Catarina,Brazil,-26.48300,-49.06700,America/Sao_Paulo,2025-02-12 08:29:00.000,2025-02-12 08:15:00.000,27.40,81.30,Parcialmente nublado,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,2.20,3.60,277,W,1011.00,29.85,0.00,0.00,89,75,28.30,83.00,29.20,84.60,30.80,87.40,18.80,65.90,6.00,3.00,2.3,6.70,10.80,2025-02-12 08:10:02.000,2025-02-12 08:10:02.000,2025-02-12 08:30:02.000
468,Jaragua Do Sul,Santa Catarina,Brazil,-26.48300,-49.06700,America/Sao_Paulo,2025-02-12 08:34:00.000,2025-02-12 08:30:00.000,27.30,81.10,Parcialmente nublado,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,2.20,3.60,277,W,1011.00,29.85,0.00,0.00,89,75,28.20,82.80,29.20,84.60,30.80,87.40,18.80,65.90,6.00,3.00,2.3,6.70,10.80,2025-02-12 08:35:02.000,2025-02-12 08:35:02.000,2025-02-12 08:35:02.000
